Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Cote d'Ivoire,CIV,..,..,0.054764381,0.053759562,..,..,0.232699505,0.277026786,0.609749474,0.515170401,0.62605059,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Croatia,HRV,..,..,12.1094895,16.49116193,19.3143565,20.64920804,21.34042125,22.25602919,23.04482351,23.17575376,24.61803304,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Cuba,CUB,..,..,0.01988252,0.025538528,0.032849461,0.039206981,0.044477146,0.047578346,0.069218216,0.072514511,0.128407029,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Curacao,CUW,..,..,..,..,..,20.98691288,22.91281642,23.30561854,23.89023456,24.32157993,25.51633045,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Cyprus,CYP,..,..,18.74455899,21.80944121,23.49341549,24.98810365,25.53304781,26.591832,28.55262541,30.91448227,33.03083857,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Czech Republic,CZE,..,0.024389297,16.89986281,19.41661007,21.42546013,23.64613374,24.92464623,26.68767917,27.88349632,27.34164976,27.65087791,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Denmark,DNK,..,1.255085202,36.49277743,36.61391489,38.05479378,38.44225815,38.93602084,40.44068654,41.51919512,42.47756381,42.75318309,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Djibouti,DJI,..,0.000553337,0.30255524,0.643049649,0.966145346,1.334914474,1.734073788,2.02822213,2.268047518,2.686020688,2.957549309,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Dominica,DMA,..,0.11481221,9.875428523,10.28226942,11.67816544,11.63429084,11.85759723,14.8146605,14.90855808,20.85718217,21.21012915,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Dominican Republic,DOM,..,..,2.452443259,3.192882829,3.898501687,4.177530486,4.706070215,5.062640328,5.698533776,6.441028019,6.47421232,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Ecuador,ECU,..,..,1.074928878,1.634765984,1.475361228,4.321803831,5.445969679,6.725512804,8.256673168,9.740478849,9.739068144,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Egypt, Arab Rep.",EGY,..,..,1.019637571,1.403436896,1.859256987,2.324211721,2.835381399,3.26149297,3.679095785,4.517300321,5.196121387,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,El Salvador,SLV,..,..,2.00704642,2.416210667,2.818727943,3.292711503,3.844447402,4.485924825,4.995729784,5.493322287,6.007802944,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Equatorial Guinea,GNQ,..,..,0.027354584,0.026593741,0.170361422,0.187989877,0.201006117,0.4647206,0.498804078,0.47524807,0.487255824,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Eritrea,ERI,..,..,0.000817515,0.001259471,0.002055334,0.002376597,0.003017491,0.002305335,0.003059893,0.007421003,0.008649452,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Estonia,EST,..,..,22.53050289,24.07010165,26.79046278,26.95608645,27.07723559,28.04021904,28.8999362,30.00475697,31.06762424,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Ethiopia,ETH,..,..,0.001810674,0.004123151,0.004715525,0.007106815,0.009304597,0.252991591,0.488347718,0.48311082,0.551241333,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Faroe Islands,FRO,..,..,29.995363,32.02016129,32.63145156,32.40499687,32.97378096,33.75851543,34.98180348,36.09786649,36.24465597,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Fiji,FJI,..,..,1.544229965,1.505022411,2.701732246,2.678815238,1.54514131,1.240203617,1.400972011,1.426415914,1.373075167,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Finland,FIN,..,0.676134873,30.42327271,29.29680739,29.05158697,29.80098288,30.46335135,31.7010248,32.30460125,31.67966037,31.21772685,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,France,FRA,..,0.332022835,28.50400464,31.56707101,33.74459556,35.77893103,37.50591895,38.79219701,40.17401945,41.34472681,42.35416592,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,French Polynesia,PYF,..,..,10.52621568,11.31448465,12.02954507,13.2903121,14.68149912,16.2192818,17.77476013,18.35735808,19.35945827,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Gabon,GAB,..,..,0.14836365,0.243358973,0.262301908,0.282302636,0.306265206,0.532388672,0.631101377,0.632823568,0.73212286,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,"Gambia, The",GMB,..,..,0.0190116,0.018423761,0.0208254,0.025187813,0.027913858,0.02368483,0.143691257,0.181363101,0.18449059,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Georgia,GEO,..,..,2.541211313,3.40824427,4.15688201,5.681096496,10.62474273,11.90839677,13.89886561,14.74192364,15.81081103,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Germany,DEU,..,0.317317923,27.23706145,30.01174258,31.51381366,32.88230317,33.76408109,34.62242132,35.77980739,37.19317302,38.05448002,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Ghana,GHA,..,..,0.099436875,0.11987827,0.214669301,0.262478432,0.268590866,0.265570614,0.265371483,0.271016569,0.314527932,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Gibraltar,GIB,..,..,..,31.76615301,35.66471815,38.56195749,40.90909091,..,44.31566388,53.06602167,55.86242125,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Greece,GRC,..,..,13.59732413,17.2698168,20.27590642,22.16368744,24.17541819,26.17895056,28.36049985,30.91035071,32.50921267,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Greenland,GRL,..,..,21.19629466,22.16761831,21.9113642,20.99918765,20.03979784,18.95169074,18.19326849,17.45962462,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Grenada,GRD,..,..,8.615248432,11.86143284,13.79195048,13.96539582,15.16832096,16.99764866,17.69564358,18.51744241,19.44724651,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Guam,GUM,..,..,1.705514497,1.891300647,1.881585549,..,..,1.816816453,1.790553042,..,..,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Guatemala,GTM,..,..,0.692393569,1.11516287,1.805938204,..,1.858417694,2.280976013,2.734816025,2.828940885,3.03840435,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Guinea,GIN,..,..,..,..,0.004597264,0.005375607,0.006112857,0.0068113,0.007472664,0.008098631,0.008691392,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Guinea-Bissau,GNB,..,..,..,..,0.050421524,0.061567711,0.072314882,0.085198518,0.079906152,0.058787567,0.039396345,..
Fixed broadband subscriptions (per 100 people),IT.NET.BBND.P2,Guyana,GUY,..,..,0.655375068,0.873562041,1.423817556,2.597100452,3.769445377,4.614732377,5.627260703,6.6476311,7.641123541,..
